decile,n,mean_actual,mean_pred,mean_bias
0,96,28835.90302083333,33878.0222114723,5042.119190638964
1,93,32529.09139784946,36370.40408045193,3841.312682602462
2,95,34792.97578947368,36900.08865424973,2107.1128647760506
3,94,36624.17212765957,38999.097954070225,2374.925826410651
4,95,38451.393052631574,39368.76252435186,917.3694717202799
5,93,40679.691720430106,40429.77405475618,-249.91766567392963
6,95,42821.69,41407.515886340516,-1414.1741136594856
7,94,45472.750744680845,42922.95005419018,-2549.8006904906697
8,94,49160.314680851065,44723.33236279883,-4436.982318052235
9,95,57330.64536842106,46906.8538263895,-10423.791542031546
