detail_konut_tipi_raw,title_raw,duplex_type,is_duplex,is_roof_duplex,is_garden_duplex,is_middle_floor_duplex,is_standard_duplex,duplex_match_source,duplex_source_conflict,extraction_notes,classified_id
Ara Kat,İZMİT YILDIZ KONUTLARINDA PANORAMİK KÖRFEZ MANZARALI 3+1 DAİRE,none,0,0,0,0,0,none,0,,1270468942
Ara Kat,FIRSAT ALİKAHYA YENİ TRAMVAY GÜZERGAHI ÜZERİNDE 100M2SIFIR DAİRE,none,0,0,0,0,0,none,0,,1298190480
,SATILIK FIRSAT DAİRE GÜLTEPE BEYHAN SOKAKTA,none,0,0,0,0,0,none,0,,1313283432
,İzmit Yuvam Akarca Manzaralı 3+1 Satılık Daire,none,0,0,0,0,0,none,0,,1307358043
,YUVAM AKARCADA TRAMWAY DURAĞINA 50 M MESAFEDE SATILIK 3+1 DAİRE,none,0,0,0,0,0,none,0,,1304792359
Ara Kat,İZMİT YILDIZ KONUTLARINDA ARAKAT SATILIK 2+1,none,0,0,0,0,0,none,0,,1304343046
,ALTIN EMLAK'TAN YILDIZ KONUTLARI'NDA 3+1 BÜYÜK TİP SATILIK DAİRE,none,0,0,0,0,0,none,0,,1301116822
Ara Kat,ALİKAHYA MERKEZ ARAKAT 85M2 ÖNÜAÇIK TRAMVAYA YAKIN SATILIK DAİRE,none,0,0,0,0,0,none,0,,1281141938
Dubleks|En Üst Kat|Ara Kat Dubleks|Bahçe Dubleksi|Çatı Dubleksi|Ters Dubleks,İZMİT YENİ PROJE ÜNİVERSİTE YOLU ÜZERİ SATILIK 2+1 ARA KAT DAİRE,roof,1,1,0,0,0,detail,0,,1313103217
,İZMİT ALİKAHYA KAVANİUM SİTE 833 ADA SATILIK 3+1 GİRİŞ KAT DAİRE,none,0,0,0,0,0,none,0,,1306720569
Dubleks,Merkezi konumda tramvay duragına 50 m mesafede ferah 3+1 daire,standard,1,0,0,0,1,detail,0,,1312997093
,REMAX EFFECT KENTSA SİTESİNDE MÜKEMMEL KONUMDA SATILIK 3+1 DAİRE,none,0,0,0,0,0,none,0,,1311723440
,ANA CADDE ÜSTÜNDE,none,0,0,0,0,0,none,0,,1219924161
Ara Kat,İZMİT ALİKAHYA KAVANİUM 815. ADA DA 3+1 SATILIK ARA KAT DAİRE,none,0,0,0,0,0,none,0,,1318546770
,Turyap'tan Yıldız Konutlarında 4+1 190 m2 Bahçe Kat Daire,none,0,0,0,0,0,none,0,,1277886296
Ara Kat,ALİKAHYA KAVANİUM 3+1 SATILIK DAİRE,none,0,0,0,0,0,none,0,,1312814767
Ara Kat,YUVAM AKARCADASATILIK 3+1 ARAKAT krediye uygun,none,0,0,0,0,0,none,0,,1309836534
Ara Kat,ESKİDJİDEN İZMİT İZTOP PARK EVLERİNDE SATILIK 3+1 DAİRE,none,0,0,0,0,0,none,0,,1318454073
Çatı Dubleksi,İZMİT ALİKAHYA FATİH MH.TRAMVAY DURAĞI YANINDA SATILIK 3+1 DAİRE,roof,1,1,0,0,0,detail,0,,1306652082
